,Importance,Feature
0,0.11186496524373073,Phosphate_no test
1,0.05667356352355712,Albumin_abnormal
2,0.05511079765392224,DIAGNOSIS_NEWBORN
3,0.05050706363467945,ADMISSION_TYPE_NEWBORN
4,0.03876790234549059,Glucose_Blood_Gas_no test
5,0.029413407474160925,"Bilirubin, Total_no test"
6,0.017507814700432632,Anion Gap_no test
7,0.012492675016973775,DIAGNOSIS_CROHN'S DISEASE;ABDOMINAL FISTULA
8,0.011507128891893554,Urea Nitrogen_abnormal
9,0.00829172571597323,Hemoglobin_Blood_Gas_abnormal
10,0.008184074129133122,DIAGNOSIS_PREMATURITY
11,0.00798274496427305,ADMISSION_LOCATION_CLINIC REFERRAL/PREMATURE
12,0.006896617342746611,Lactate_no test
13,0.00645019505880696,Phosphate_normal
14,0.006141804526836092,Creatinine_abnormal
15,0.006096751637017605,INSURANCE_Medicaid
16,0.006022852568015135,Magnesium_normal
17,0.005952520160135187,Hemoglobin_Blood_Gas_no test
18,0.005861815024623847,"Hematocrit, Calculated_normal"
19,0.005757002645831918,Phosphate_abnormal
20,0.005712327173857212,White Blood Cells_abnormal
21,0.0054707175153533485,White Blood Cells_normal
22,0.005400535992863621,"Potassium, Whole Blood_no test"
23,0.00507131813626154,MARITAL_STATUS_SINGLE
24,0.0050414778151207104,Bicarbonate_normal
25,0.004939436425521485,Glucose_Chemistry_abnormal
26,0.004917118396886969,Creatinine_normal
27,0.004907815147815416,INSURANCE_Private
28,0.004834179176117227,Bicarbonate_abnormal
29,0.0047066649976763904,"Hematocrit, Calculated_no test"
30,0.0045184412247549575,Chloride_abnormal
31,0.004361008758720092,"Sodium, Whole Blood_abnormal"
32,0.004346893209019203,Chloride_normal
33,0.004327858796494746,Platelet Count_abnormal
34,0.0040556443398182904,DIAGNOSIS_CHRONIC LYMPHOCYTIC LEUKEMIA\BONE MARROW TRANSPLANT
35,0.004054341758382127,Magnesium_abnormal
36,0.004031466530555886,PTT_abnormal
37,0.0040211891542232285,Sodium_no test
38,0.003961662672060034,Glucose_Chemistry_normal
39,0.0038956960664628514,Platelet Count_normal
40,0.0037267736087410503,ADMISSION_LOCATION_PHYS REFERRAL/NORMAL DELI
41,0.0037233160430802086,"Sodium, Whole Blood_no test"
42,0.0037059018204334652,Potassium_normal
43,0.0037007873233146234,DIAGNOSIS_EXTREME PREMATURITY
44,0.0036778805796805914,DIAGNOSIS_FEVER
45,0.003671494032601719,DIAGNOSIS_ENDOMETRIAL CANCER/SDA
46,0.003648250860944285,Potassium_abnormal
47,0.0036308132026235075,MARITAL_STATUS_MARRIED
48,0.003553417168599096,Hemoglobin_Hematology_normal
49,0.003518966229801165,INSURANCE_Medicare
50,0.003513657500407865,"Bilirubin, Total_normal"
51,0.003457320964447655,Hematocrit_abnormal
52,0.003449398893259637,Sodium_abnormal
53,0.003415461786737809,DIAGNOSIS_PANCREATIC PSEUDOCYST
54,0.0033274998226665857,"Potassium, Whole Blood_normal"
55,0.003319673442831316,Urea Nitrogen_normal
56,0.003310088126975463,Hematocrit_normal
57,0.0032535088374199012,DIAGNOSIS_S/P HANGING
58,0.0032182280337672777,"Bilirubin, Total_abnormal"
59,0.0032068477714284303,INR(PT)_normal
60,0.0032067163175678063,ADMISSION_LOCATION_EMERGENCY ROOM ADMIT
61,0.0031724584737857476,DIAGNOSIS_ABDOMINAL SEPSIS
62,0.003170513105274922,Hemoglobin_Hematology_abnormal
63,0.0031653302768801872,PT_abnormal
64,0.0030841860928544217,Anion Gap_abnormal
65,0.0030806815480218432,"Potassium, Whole Blood_abnormal"
66,0.003059019318571853,Sodium_normal
67,0.003039408805882265,ADMISSION_LOCATION_TRANSFER FROM HOSP/EXTRAM
68,0.0029832120460447794,DIAGNOSIS_PANCREATITIS
69,0.0028854718952230603,DIAGNOSIS_STROKE
70,0.0028714707167735976,INSURANCE_Government
71,0.0028534568489003475,Lactate_normal
72,0.0028498546088818865,"Chloride, Whole Blood_abnormal"
73,0.002737396536054193,"Sodium, Whole Blood_normal"
74,0.0027241193693506105,Anion Gap_normal
75,0.002720810731839636,PT_normal
76,0.0026944577213444364,"Chloride, Whole Blood_normal"
77,0.0026652520820103238,"Chloride, Whole Blood_no test"
78,0.0026490188489266438,DIAGNOSIS_ENTEROCUTANEOUS FISTULA
79,0.002621415440136991,Lactate_abnormal
80,0.0025747608795930895,Albumin_no test
81,0.002567816537979043,PTT_normal
82,0.00246974698044735,DIAGNOSIS_PNEUMONIA
83,0.0024548873916775235,DIAGNOSIS_MYELODYSPLASIA;BONE MARROW TRANSPLANT/SDA
84,0.0024537501279629607,DIAGNOSIS_INTRACRANIAL HEMORRHAGE
85,0.0024494254172776303,DIAGNOSIS_CONGESTIVE HEART FAILURE
86,0.002449102921455883,DIAGNOSIS_FACIAL NUMBNESS
87,0.002411096308786491,MARITAL_STATUS_WIDOWED
88,0.002399917450331052,DIAGNOSIS_ABDOMINAL PAIN
89,0.0023949828866913683,INR(PT)_abnormal
90,0.0023530665360162904,DIAGNOSIS_LARGE ABDOMINAL FISTULA
91,0.0023528376080700713,Glucose_Chemistry_no test
92,0.0023197064135520432,DIAGNOSIS_ACUTE MYELOGENOUS LEUKEMIA;CHEMOTHERAPY
93,0.0023123995766251367,Platelet Count_delta
94,0.0023036386995603174,DIAGNOSIS_SEPSIS
95,0.002250904146793938,DIAGNOSIS_S/P LIVER TX-NAUSEA-VOMITING
96,0.002241800790283778,DIAGNOSIS_SUBARACHNOID HEMORRHAGE
97,0.002209208668535776,DIAGNOSIS_ALTERED MENTAL STATUS
98,0.0021850390917568466,DIAGNOSIS_HEPATIC ENCEPHALOPATHY
99,0.0021450497337397287,MARITAL_STATUS_DIVORCED
100,0.0021254091631828596,Magnesium_no test
101,0.002096204393086834,ADMISSION_TYPE_ELECTIVE
102,0.002044728322216767,DIAGNOSIS_HEAD INJURY
103,0.002035647683024706,Albumin_normal
104,0.0019284488786077446,DIAGNOSIS_CIRRHOSIS
105,0.0018479228713285981,Hemoglobin_Blood_Gas_normal
106,0.0018264147702338784,DIAGNOSIS_RT CEREBELLAR BLEED
107,0.0018220328146347834,Glucose_Blood_Gas_abnormal
108,0.001762702302085331,DIAGNOSIS_LEUKEMIA
109,0.0016861271353003937,Glucose_Blood_Gas_normal
110,0.0016492398867177028,DIAGNOSIS_ACUTE RENAL FAILURE
111,0.0016108039592492344,PTT_no test
112,0.0016033049162187802,DIAGNOSIS_ELEVATED WHITE BLOOD COUNT
113,0.0015984653682228848,"DIAGNOSIS_TRACHEAL BRONCHIAL MALACIA\ BRONCHOSCOPY W/""Y"" STENT PLACEMENT"
114,0.001558403937903017,DIAGNOSIS_UTI;ABDOMINAL PAIN
115,0.0015353298108154742,DIAGNOSIS_LIVER FAILURE
116,0.0015125216390584361,DIAGNOSIS_CORONARY ARTERY DISEASE
117,0.001498778245615343,DIAGNOSIS_CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; WITH AVR/SDA
118,0.0014854690009287494,DIAGNOSIS_THORACIC DISSECTION
119,0.001479389468688726,DIAGNOSIS_FAILURE TO THRIVE
120,0.0013866088840628118,"DIAGNOSIS_FOUND DOWN,SUB DURAL HEMATOMA"
121,0.0013072147307130785,DIAGNOSIS_RESPIRATORY FAILURE
122,0.0012667246314218032,DIAGNOSIS_STATUS POST MOTOR VEHICLE ACCIDENT WITH INJURIES
123,0.0012230703382302426,DIAGNOSIS_VOCAL CORD DISFUNCTION
